"Name","id","Source","Phone","Website/Social Media","Category","Latitude","Longitude","Address","Status","Pickup Offered","Delivery Offered","Notes","Hours","Delivery Apps","MWBE","Black Owned Business","Instagram","Sub-Category","Outdoor Dining","Indoor Dining","Order Website","Last Updated","Created time","Delivery/Pickup Notes","Owners","Images","Email","Special Accommodation Hours"
"Au Jus Oklahoma BBQ",3480,"UGC website","212-360-7200","https://www.aujusnyc.com/","Restaurants/Bars",40.788582,-73.948637,"1569 Lexington Avenue, New York, NY 10029 ","Open","Yes","Yes","
","Monday-Saturday, 11 a.m.-9 p.m., Sunday 10 a.m.-9 p.m.	 
","### [IN-HOUSE](https://www.aujusnyc.com/)

",,,"https://www.instagram.com/bbqaujus/","Restaurant/Bar","yes","yes","### [IN-HOUSE](https://www.aujusnyc.com/)

","2020-10-29","2020-06-15T20:53:30.000Z",,"Patrick Griffin",,,
"Babbalucci",3481,"UGC website","646-918-6572","http://www.babbalucci.com/","Restaurants/Bars",40.808945,-73.945051,"331 Malcolm X Boulevard, New York, NY 10027 ","Open","Yes","Yes","
","Daily 4-10 p.m.
","###  [IN-HOUSE](http://www.babbalucci.com/), [GRUBHUB](https://www.grubhub.com/restaurant/babbalucci-331-lenox-ave-new-york/313284?gclid=EAIaIQobChMIy7bP_YGl6AIVBL3ICh3xkwV1EAAYASAAEgLL_vD_BwE&gclsrc=aw.ds)

",,,"https://www.instagram.com/babbalucci_nyc/","Restaurant/Bar","yes","yes","###  [IN-HOUSE](http://www.babbalucci.com/), [GRUBHUB](https://www.grubhub.com/restaurant/babbalucci-331-lenox-ave-new-york/313284?gclid=EAIaIQobChMIy7bP_YGl6AIVBL3ICh3xkwV1EAAYASAAEgLL_vD_BwE&gclsrc=aw.ds)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Baked Cravings",3482,"UGC website","646-590-3324",,"Restaurants/Bars",40.7914,-73.946652,"1673 Lexington Avenue, New York, NY 10029 ","Open","Yes","Yes","
","Monday - Friday 11 a.m. - 6 p.m. Saturday 12 p.m. - 5 p.m.		
","### [GRUBHUB](https://www.grubhub.com/restaurant/baked-cravings-1673-lexington-ave-new-york/456858), [POSTMATES](https://postmates.com/merchant/baked-cravings-new-york), [DOORDASH](https://www.doordash.com/store/baked-cravings-new-york-114480/), [SWEETIST](https://www.sweetist.com/bakeries/baked-cravings)

",true,true,"https://www.instagram.com/bakedcravingsny/","Restaurant/Bar","yes","n/a","GRUBHUB, POSTMATES, DOORDASH, SWEETIST
","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Bangklyn",3483,"Restaurant","646-429-8128",,"Restaurants/Bars",40.790288,-73.943046,"2051 Second Avenue, New York, NY 10029 ","Open","Yes","Yes","
","Monday-Friday 12- 10pm		
","### [GRUBHUB](https://www.grubhub.com/restaurant/bangklyn-east-harlem-2051-2nd-ave-new-york/643208), [POSTMATES](https://postmates.com/merchant/bangklyn-east-harlem-new-york), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/bangklyn-east-harlem/PNhIpcdqS1GWQArbj-wIJg)

",true,,"https://www.instagram.com/bangklyn.ny/","Restaurant/Bar","yes","yes","### [GRUBHUB](https://www.grubhub.com/restaurant/bangklyn-east-harlem-2051-2nd-ave-new-york/643208), [POSTMATES](https://postmates.com/merchant/bangklyn-east-harlem-new-york), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/bangklyn-east-harlem/PNhIpcdqS1GWQArbj-wIJg)

","2020-10-29","2020-06-15T20:53:30.000Z",,"Sarina and Pat",,,
"Bar 314",3484,"AH","646-682-7645","https://www.bar314nyc.com/","Restaurants/Bars",40.81092,-73.958502,"1260 Amsterdam Avenue, New York, NY 10027 ","Open","Yes","Yes","
","Daily 4-10 p.m.
","### [GRUBHUB](https://www.grubhub.com/restaurant/bar-314-1260-amsterdam-ave-new-york/1008469), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/bar314/EaVU2rIiSj2FxEfTu2zZWA), [SLICE](https://slicelife.com/restaurants/ny/new-york/10027/bar-314/menu)

",,,"https://www.instagram.com/314_nyc/","Restaurant/Bar","yes","yes","### [GRUBHUB](https://www.grubhub.com/restaurant/bar-314-1260-amsterdam-ave-new-york/1008469), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/bar314/EaVU2rIiSj2FxEfTu2zZWA), [SLICE](https://slicelife.com/restaurants/ny/new-york/10027/bar-314/menu)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Barawine",3485,"UGC website","646-756-4154","https://www.barawine.com/","Restaurants/Bars",40.804529,-73.947381,"200 Malcolm X Boulevard, New York, NY 10027","Open","Yes","Yes","
","Monday - Wed 4pm-9pm, Thurs-Sat 4-10pm, Sun 12-8pm
","### [GRUBHUB](https://www.grubhub.com/restaurant/barawine-200-lenox-ave-new-york/292252?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [DELIVERY](https://www.delivery.com/cities/nyc/categories/restaurant/barawine).COM, [UBEREATS](https://www.ubereats.com/new-york/food-delivery/barawine-harlem/zf5a920XQcW_L5AFmRo97A/?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [SEAMLESS](https://www.seamless.com/menu/barawine-200-lenox-ave-new-york/292252?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [DOORDASH.](https://www.doordash.com/store/barawine-new-york-177345/?utm_campaign=gpa)
",,,"https://www.instagram.com/barawine_harlem/","Wine/Liquor Store","yes",,"### [GRUBHUB](https://www.grubhub.com/restaurant/barawine-200-lenox-ave-new-york/292252?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [DELIVERY](https://www.delivery.com/cities/nyc/categories/restaurant/barawine).COM, [UBEREATS](https://www.ubereats.com/new-york/food-delivery/barawine-harlem/zf5a920XQcW_L5AFmRo97A/?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [SEAMLESS](https://www.seamless.com/menu/barawine-200-lenox-ave-new-york/292252?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [DOORDASH.COM](https://www.doordash.com/store/barawine-new-york-177345/?utm_campaign=gpa)

","2020-10-29","2020-06-15T20:53:30.000Z",,"Fabrice Warin (French)",,,
"Barcha",3486,"Restaurant","646-455-0046","https://www.barcha.nyc/","Restaurants/Bars",40.795587,-73.936068,"2241 First Avenue, New York, NY 10029 ","Open","Yes","Yes","
","**Monday-Friday 11 a.m.-8:30 p.m., Saturday 3-8:30 p.m.**
","### [IN-HOUSE](https://barchaharlem.square.site/), [GRUBHUB](https://www.grubhub.com/restaurant/barcha-2241-1st-avenue-new-york/1476970), [EZ CATER](https://www.ezcater.com/catering/barcha-new-york-3?filter%5Bquery_string%5D=barcha)
### 

",true,,"https://www.instagram.com/barchaharlem/","Restaurant/Bar","no","yes","### [IN-HOUSE](https://barchaharlem.square.site/), [GRUBHUB](https://www.grubhub.com/restaurant/barcha-2241-1st-avenue-new-york/1476970), [EZ CATER](https://www.ezcater.com/catering/barcha-new-york-3?filter%5Bquery_string%5D=barcha)

","2020-10-29","2020-06-15T20:53:30.000Z",,"Walid ? and Gloribelle Perez",,,
"Bardolino Pizza",3487,"UGC website","646-918-7455",,"Restaurants/Bars",40.786607,-73.950088,"1505 Lexington Avenue, New York, NY 10029 ","Open","Yes","Yes","
","Monday - Sunday 10:30am-midnight
","### [GRUBHUB](https://www.grubhub.com/restaurant/bardolino-pizza-1505-lexington-ave-new-york/403587), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/bardolino-pizza?address=56%20E%20126th%20St%2C%2010035&orderTime=ASAP&orderType=delivery), [SLICE](https://www.bardolinopizzanyc.com/)

",,,,"Restaurant/Bar","no","n/a","### [GRUBHUB](https://www.grubhub.com/restaurant/bardolino-pizza-1505-lexington-ave-new-york/403587), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/bardolino-pizza?address=56%20E%20126th%20St%2C%2010035&orderTime=ASAP&orderType=delivery), [SLICE](https://www.bardolinopizzanyc.com/)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Barepas",3488,"UGC website","646-410-0261","https://www.clover.com/online-ordering/barepas-new-york","Restaurants/Bars",40.827715,-73.946167,"1792 Amsterdam Avenue, New York, NY 10031","Open","Yes","Yes","
","Monday- Sunday 4pm-11 p.m
","### [POSTMATES](https://postmates.com/merchant/bb4ed24a-99b6-4063-8260-3b24dafdd10d)

",true,,"https://www.instagram.com/barepasnyc/","Restaurant/Bar","yes",,"### [POSTMATES](https://postmates.com/merchant/bb4ed24a-99b6-4063-8260-3b24dafdd10d)

","2020-10-29","2020-06-15T20:53:30.000Z","
","Yency and Jen Perez",,,
"Barwachi ",3489,"Restaurant","212-289-7700",,"Restaurants/Bars",40.792794,-73.950375,"1546 Madison Avenue, New York, NY 10029 ","Open","Yes","No","place order over phone
","Monday- Saturday 12pm-8pm
",,true,,,"Restaurant/Bar","no","no",,"2020-10-22","2020-06-15T20:53:30.000Z",,,,,
"Benyam Cuisine",3490,"CK","212-510-7353",,"Restaurants/Bars",40.825222,-73.94055,"2795 Frederick Douglass Boulevard, New York, NY 10039 ","Open","Yes","Yes","
","Wednesday-Thursday 4-9 p.m., Friday-Saturday 12-9 p.m., Sunday 12-8 p.m.
","### [GRUBHUB](https://www.grubhub.com/restaurant/benyam-cuisine-2795-frederick-douglass-blvd-new-york/1424200), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/benyam-ethiopian-cuisine/Dk0GhTF3QPK9N1qLDx4Q6Q),

",true,true,"https://www.instagram.com/benyam_cuisine/","Restaurant/Bar","yes","yes","### [GRUBHUB](https://www.grubhub.com/restaurant/benyam-cuisine-2795-frederick-douglass-blvd-new-york/1424200), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/benyam-ethiopian-cuisine/Dk0GhTF3QPK9N1qLDx4Q6Q),

","2020-10-29","2020-06-15T20:53:30.000Z","
",,,,
"Bermudez Bakery",3491,"UGC website","(212) 427-2877",,"Restaurants/Bars",40.79903,-73.941056,"1875 Lexington Avenue, New York, NY 10035 ","Open","Yes","No",,"Monday- Sunday 5 a.m.-5 p.m
",,true,,"https://www.instagram.com/bermudezbakery/","Restaurant/Bar","no","n/a",,"2020-10-13","2020-06-15T20:53:30.000Z",,,,,
"Bistro Casa Azul",3492,"UGC Website","917-805-0803",,"Restaurants/Bars",40.796607,-73.932342,"343 Pleasant Avenue, New York, NY 10035 ","Open","Yes","Yes","
","Monday- Sunday 12 p.m.- 11 p.m.	


","### [IN-HOUSE](https://bistrocasaazul.business.site/#menu)

",true,,"https://www.instagram.com/bistrocasaazul/","Restaurant/Bar","yes","no","### [IN-HOUSE](https://bistrocasaazul.business.site/#menu)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Blue Coco",3493,"UGC website","212-534-2626","https://www.bluecocony.com/","Restaurants/Bars",40.792262,-73.945712,"153 East 106th Street, New York, NY 10029 ","Closed","No","No","
","Monday- Friday 8:30am-4pm but temporarily closing October 23
",,true,,"https://www.instagram.com/bluecocony/","Restaurant/Bar","no",,,"2020-10-28","2020-06-15T20:53:30.000Z",,,,,
"BLVD Bistro",3494,"Restaurant","212-678-6200","https://www.boulevardbistrony.com/","Restaurants/Bars",40.804386,-73.95581,"2149 Frederick Douglass Boulevard, New York, NY 10026 ","Open","Yes","Yes","
","Saturday-Sunday 10am-6pm
","### [UBER EATS](https://www.ubereats.com/new-york/food-delivery/blvd-bistro-harlem/9dqI8-i-RKe8STqnhK2weA), [SEAMLESS](https://www.seamless.com/menu/blvd-bistro-of-harlem-2149-frederick-douglass-blvd-new-york/1458200)

",true,true,"https://www.instagram.com/blvdbistro/","Restaurant/Bar","yes","yes"," [UBER EATS](https://www.ubereats.com/new-york/food-delivery/blvd-bistro-harlem/9dqI8-i-RKe8STqnhK2weA), [SEAMLESS](https://www.seamless.com/menu/blvd-bistro-of-harlem-2149-frederick-douglass-blvd-new-york/1458200)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Bo's Bagels",3495,"UGC website","917-902-8345","http://bosbagels.com/index.html","Restaurants/Bars",40.804148,-73.954096,"235 West 116th Street, New York, NY 10026 ","Open","Yes","Yes","
","Monday - Sunday 8 a.m.-3 p.m.
","### [IN-HOUSE](http://bosbagels.com/)

",,,"https://www.instagram.com/bosbagels/","Restaurant/Bar","no","no","### [IN-HOUSE](http://bosbagels.com/)

","2020-10-29","2020-06-15T20:53:30.000Z",,"Andrew Martinez and Ashley Dikos",,,
"Bono Trattoria",3496,"UGC website","646-682-9249","http://www.bononyc.com/","Restaurants/Bars",40.830223,-73.946964,"3658 Broadway, New York, NY 10031 ","Open","Yes","Yes","
","Daily 4-10 p.m.
","### [IN-HOUSE](https://www.toasttab.com/bono-tratoria-3658-broadway/v3)

",,,"https://www.instagram.com/bono_nyc/","Restaurant/Bar","yes","yes","### [IN-HOUSE](https://www.toasttab.com/bono-tratoria-3658-broadway/v3)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Branson Got Juice",3497,"UGC website","212-283-2700",,"Restaurants/Bars",40.825558,-73.943898,"741 St. Nicholas Avenue, New York, NY 10031 ","Open","Yes","No",,,,true,true,"https://www.instagram.com/bransongotjuice/","Restaurant/Bar",,,,"2020-10-06","2020-06-15T20:53:30.000Z",,"Branson",,,
"Break Juicery",3498,"Ayana H","646-892-3034","https://www.breakjuicery.com/","Restaurants/Bars",40.820986,-73.944733,"132 Edgecombe Avenue, New York, NY 10030 ","Open","Yes","Yes","
","Monday-Sunday 8 a.m.- 8 p.m.
","### [GRUBHUB](https://www.grubhub.com/restaurant/break-juicery-132-edgecombe-ave-new-york/1155285)

",,,"https://www.instagram.com/breakjuicery/","Restaurant/Bar","no",,"### [GRUBHUB](https://www.grubhub.com/restaurant/break-juicery-132-edgecombe-ave-new-york/1155285)

","2020-10-29","2020-06-15T20:53:30.000Z",,"Nicolas Chase",,,
"Buddha Taco Bar",3499,"Instagram","646-478-8086",,"Restaurants/Bars",40.829106,-73.948084,"3628 Broadway, New York, NY 10031 ","Open","Yes","Yes","
","Monday-Sunday 12pm-10pm
","### [UBER EATS](https://www.ubereats.com/new-york/food-delivery/buddha-taco-bar/Ny3LHM71RaONMqIOc5UK7A), [POSTMATES](https://postmates.com/merchant/buddha-taco-bar-new-york), [DOORDASH](https://www.doordash.com/store/buddha-taco-bar-new-york-336408/en-US)

",,,"https://www.instagram.com/buddhatacobar/","Restaurant/Bar","yes","no","### [UBER EATS](https://www.ubereats.com/new-york/food-delivery/buddha-taco-bar/Ny3LHM71RaONMqIOc5UK7A), [POSTMATES](https://postmates.com/merchant/buddha-taco-bar-new-york), [DOORDASH](https://www.doordash.com/store/buddha-taco-bar-new-york-336408/en-US)

","2020-10-29","2020-06-15T20:53:30.000Z",,"James Lee",,,
"Burritos y Mas",3500,"UGC website","646-918-7478",,"Restaurants/Bars",40.788701,-73.948549,"1571 Lexington Avenue, New York, NY 10029 ","Open","Yes","Yes","
","Monday- Sunday 11am-10pm
","###  [IN-HOUSE](http://burritosymasnyc.com/), [GRUBHUB](https://www.grubhub.com/restaurant/burritos-y-mas-1571-lexington-ave-new-york/331371), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/burritos-y-mas/55E_dERyRU-GtQY-OA-28w)

",,,"https://www.instagram.com/burritosymas/","Restaurant/Bar","no","no","###  [IN-HOUSE](http://burritosymasnyc.com/), [GRUBHUB](https://www.grubhub.com/restaurant/burritos-y-mas-1571-lexington-ave-new-york/331371), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/burritos-y-mas/55E_dERyRU-GtQY-OA-28w)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Cafe Amrita",3501,"Restaurant","212-222-0683",,"Restaurants/Bars",40.801113,-73.958222,"301 West 110th Street, New York, NY 10026 ","Open","Yes","Yes",,"Mon - Sun 8AM to 8PM
","[Postmates](https://postmates.com/merchant/cafe-amrita-new-york)
",,,"https://www.instagram.com/cafeamrita/","Restaurant/Bar","yes","yes","[Postmates](https://postmates.com/merchant/cafe-amrita-new-york)
","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Café Ollin ",3502,"Restaurant","212-828-3644",,"Restaurants/Bars",40.791193,-73.939396,"339 East 108th Street, New York, NY 10029 ","Open","Yes","Yes","
","Monday - Sunday 8
","###  [GRUBHUB](https://www.grubhub.com/restaurant/ollin-339-e-108th-st-new-york/363358?utm_campaign=menushare&utm_content=share-link&utm_medium=content_owned&utm_source=grubhub_web)

",true,,"https://www.instagram.com/ollinnyc/","Restaurant/Bar","yes","yes"," GRUBHUB
","2020-10-29","2020-06-15T20:53:30.000Z","
","Jonathan Perez",,,
"Cafeine",3503,"UGC website","646-370-6353",,"Restaurants/Bars",40.80344,-73.955744,"2124 Frederick Douglass Boulevard, New York, NY 10026 ","Closed","No","No",,"Saturday-Sunday 8am-4pm
",,,,"https://www.instagram.com/cafeineharlem/","Restaurant/Bar","no","no",,"2020-10-15","2020-06-15T20:53:30.000Z",,,,,
