"Name","id","Phone","Website/Social Media","Latitude","Longitude","Address","Sub-Category","Last Updated","Created time","Notes","Category","Source","Status","Email","Special Accommodation Hours","SNAP/EBT","WIC","Pickup Offered","Delivery Offered","Delivery/Pickup Notes","Donate"
"Sunnyside Reformed Church",640,"(718) 426-5997","http://sunnysidenyc.rcachurches.org/",40.7466667,-73.9158333,"48-03 Skillman Ave, Sunnyside","church,place_of_worship,point_of_interest,establishment",,"2020-05-29T17:32:14.000Z","718-426-5997 | 48-03 Skillman Ave [www.sunnysidenyc.rcachurches.org][1]

  [1]: http://www.sunnysidenyc.rcachurches.org
","Community Services",,,,,,,,,,
"Queen of Angels Church",641,"(718) 392-0011","http://www.queenofangelsnyc.org/",40.746519,-73.91949,"44-04 Skillman Ave, Sunnyside","church,place_of_worship,point_of_interest,establishment",,"2020-05-29T17:32:14.000Z","718-392-0011 | 4-04 Skillman Ave [www.queenofangelsnyc.org][1]

  [1]: http://www.queenofangelsnyc.org
","Community Services",,,,,,,,,,
"COVID testing at former Sports Authority Northern Blvd",642,,,40.7526051,-73.9085913,,,"2020-05-14T04:00:00.000Z","2020-05-29T17:32:14.000Z","specifications to follow
","Community Services",,,,,,,,,,
"Washateria Laundromat",643,"(718) 937-6872",,40.741416,-73.920153,"4424 Greenpoint Ave, Sunnyside",,,"2020-05-29T17:32:14.000Z","Open daily, 8am-8:30pm
","Laundromat & Cleaners",,,,,,,,,,
"Hong Guang Laundromat",644,"(718) 838-8885",,40.74414,-73.923111,"43-45 41st St, Sunnyside",,"2020-04-09T04:00:00.000Z","2020-05-29T17:32:14.000Z","Mon-Fri 8am-10pm; Sat-Sun 7:30am-9:30pm
","Laundromat & Cleaners",,,,,,,,,,
"Sunny Suds Laundromat",645,"(718) 472-3312",,40.745687,-73.924132,"3943 43rd St, Sunnyside",,,"2020-05-29T17:32:14.000Z","Call for hours
","Laundromat & Cleaners",,,,,,,,,,
"Bubble Laundromat",646,"(347) 738-4281",,40.739377,-73.921211,"44-2 48th Ave, Woodside",,"2020-05-06T04:00:00.000Z","2020-05-29T17:32:14.000Z","Call (347) 738-4281 Open daily 7AM-10PM
","Laundromat & Cleaners",,,,,,,,,,
"King Coin Laundry & Cleaners",647,"(718) 706-1279","http://www.kingcoincleaners.com/",40.738515,-73.927939,"38-15 Greenpoint Ave, Long Island City",,,"2020-05-29T17:32:14.000Z","Call for hours. Pick up & delivery offered.
","Laundromat & Cleaners",,,,,,,,,,
"No. 1 Laundromat",648,"(718) 472-2544",,40.743624,-73.918722,"4344 46th St, Sunnyside",,,"2020-05-29T17:32:14.000Z","Call for hours
","Laundromat & Cleaners",,,,,,,,,,
"Diamond Dry Cleaners and Laundromat",649,"(718) 752-0352","http://www.sunnysideshines.org/business/diamond-dry-cleaner-and-laundromat",40.743678,-73.919345,"4347 45th St, Sunnyside",,,"2020-05-29T17:32:14.000Z","Closed Thursday. Friday thru Wednesday 7AM-7PM. Last wash is 5PM.
","Laundromat & Cleaners",,,,,,,,,,
"DCH Laundromat",650,"(646) 708-0688",,40.7394,-73.919599,"45-17 48th St, Woodside",,,"2020-05-29T17:32:14.000Z","Call for hours.
","Laundromat & Cleaners",,,,,,,,,,
"Skillman Laundry Center",651,,,40.746142,-73.915678,"48-12 Skillman Ave, Long Island City",,,"2020-05-29T17:32:14.000Z","Posted hours 7am-5pm (Call for updates!)
","Laundromat & Cleaners",,,,,,,,,,
"Snow White Laundry",652,,,40.744348,-73.915436,,,,"2020-05-29T17:32:14.000Z","Open daily 8am-6pm - (718) 478-3480
","Laundromat & Cleaners",,,,,,,,,,
"64 Woodside Laundromat",653,"(718) 505-1217",,40.743611,-73.900278,"6414 Woodside Ave, Woodside",,"2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Call for hours (718) 505-1217
","Laundromat & Cleaners",,,,,,,,,,
"Quality Laundrette",654,"(917) 669-7571",,40.7461623,-73.9134667,"50-21 Skillman Ave, Flushing",,"2020-05-05T04:00:00.000Z","2020-05-29T17:32:14.000Z","Call 917-669-7571
","Laundromat & Cleaners",,,,,,,,,,
"50-02 Laundromat",655,,,40.74597,-73.914185,"50-02 Skillman Ave, Flushing",,"2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Open, hours uncertain - Call to confirm (718) 440-2930
","Laundromat & Cleaners",,,,,,,,,,
"H Laundromat",656,,,40.742093,-73.925094,,,,"2020-05-29T17:32:14.000Z","[Closed at this time]
","Laundromat & Cleaners",,,,,,,,,,
"Sunnyside Laundromat",657,"(718) 729-2077",,40.740121,-73.925418,"3937 48th Ave, Sunnyside",,,"2020-05-29T17:32:14.000Z","[Closed at this time]
","Laundromat & Cleaners",,,,,,,,,,
"14th Laundry",658,"(718) 726-0724","http://14thlaundry.com/",40.769143,-73.931045,"3067 14th St, Astoria",,"2020-04-17T04:00:00.000Z","2020-05-29T17:32:14.000Z","Closed at this time (Call 718-726-0724)
","Laundromat & Cleaners",,,,,,,,,,
"Lemon Laundry",659,"(917) 832-7407","http://www.lemonlaundromat.com/",40.747444,-73.903109,"60-11 39th Ave, Queens",,"2020-04-12T04:00:00.000Z","2020-05-29T17:32:14.000Z","9am-5pm daily, drop-off only, wash and dry only (no folding) <http://lemonlaundromat.com>
","Laundromat & Cleaners",,,,,,,,,,
"Eleven Laundromat",660,,,40.744034,-73.906844,"41-19 58th St, Woodside",,"2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Closed at this time
","Laundromat & Cleaners",,,,,,,,,,
"Kew Kingsize Laundromat",661,,,40.709434,-73.829334,"80-59 Lefferts Blvd, Kew Gardens",,"2020-04-18T04:00:00.000Z","2020-05-29T17:32:14.000Z","Open Sunday, Monday, Wednesday, and Friday 12pm-6pm (last wash at 4pm, no folding permitted inside)
","Laundromat & Cleaners",,,,,,,,,,
"New Grant Cleaners",662,"(718) 846-6226",,40.706909,-73.833867,"11833 Metropolitan Ave, Kew Gardens",,"2020-04-18T04:00:00.000Z","2020-05-29T17:32:14.000Z","open Monday to Saturday 9am-5pm
","Laundromat & Cleaners",,,,,,,,,,
"Woodside Laundromat",663,"(718) 396-1001",,40.747044,-73.902548,"6104 39th Ave, Flushing",,"2020-04-28T04:00:00.000Z","2020-05-29T17:32:14.000Z","Open until 6pm Call first 718-396-1001
","Laundromat & Cleaners",,,,,,,,,,
"David's Cleaners",664,"(718) 544-7500","http://abcrug.net/",40.726813,-73.822148,"7142 Main St, Flushing",,,"2020-05-29T17:32:14.000Z",,"Laundromat & Cleaners",,,,,,,,,,
"Nan Yang Laundromat",665,,,40.767694,-73.790559,"32-63 Francis Lewis Blvd, Flushing",,"2020-04-19T04:00:00.000Z","2020-05-29T17:32:14.000Z","Open on Weekends only:  7am - 8:30pm Call (646) 309-0093
","Laundromat & Cleaners",,,,,,,,,,
"192 Laundromat",666,"(718) 578-9598",,40.759689,-73.789875,"40-48 192nd St, Flushing",,"2020-05-02T04:00:00.000Z","2020-05-29T17:32:14.000Z","Last Wash 4pm; 6pm Close
","Laundromat & Cleaners",,,,,,,,,,
"Auburndale Laundromat",667,,,40.763326,-73.786743,"3624 Francis Lewis Blvd, Flushing",,"2020-04-19T04:00:00.000Z","2020-05-29T17:32:14.000Z","Due to COVID-10 Store hours have been changed.  Call Shao Chun Guan  347-761-4487
","Laundromat & Cleaners",,,,,,,,,,
"Greenway Cleaner",668,,,40.76334,-73.786798,"3622 Francis Lewis Blvd, Flushing",,"2020-04-19T04:00:00.000Z","2020-05-29T17:32:14.000Z","Monday - Saturday 9am - 5pm 718-354-4890
","Laundromat & Cleaners",,,,,,,,,,
"A & A Cleaners & Laundry",669,"(718) 651-6332",,40.7461931,-73.9130397,"51-5 Skillman Ave, Woodside",,"2020-05-04T04:00:00.000Z","2020-05-29T17:32:14.000Z","Call 718-651-6332 | 51-5 Skillman Ave Woodside
","Laundromat & Cleaners",,,,,,,,,,
"Bands Cleaners",670,"(718) 392-6342",,40.7448317,-73.9187583,"45-14 43rd Ave, Sunnyside",,"2020-05-06T04:00:00.000Z","2020-05-29T17:32:14.000Z","Call 718-392-6342 Mon-Sat 9AM-6PM
","Laundromat & Cleaners",,,,,,,,,,
"Family Laundry",671,,,40.692327,-73.858276,"85-20 Jamaica Ave, Woodhaven",,"2020-05-21T04:00:00.000Z","2020-05-29T17:32:14.000Z","(347)-224-5331 Open 24/7
","Laundromat & Cleaners",,,,,,,,,,
"Florence Cleaners",672,"(718) 441-7688",,40.692636,-73.859974,"84-29 Jamaica Ave, Jamaica",,"2020-05-21T04:00:00.000Z","2020-05-29T17:32:14.000Z","718-441-7688
","Laundromat & Cleaners",,,,,,,,,,
"Forest Park Laundromat & Cleaners",673,,,40.6922104,-73.8608836,"80-42 Jamaica Ave, Woodhaven",,"2020-05-21T04:00:00.000Z","2020-05-29T17:32:14.000Z","7AM-8:30PM All Days
","Laundromat & Cleaners",,,,,,,,,,
"Pacific dry cleaners",674,"(347) 279-9109",,40.692215,-73.863144,"79-03 Jamaica Ave, Woodhaven",,"2020-05-21T04:00:00.000Z","2020-05-29T17:32:14.000Z","(718)-296-2819 8AM-8PM All Days
","Laundromat & Cleaners",,,,,,,,,,
"Wash-Dry Around the Clock Inc",675,"(718) 296-6466",,40.6920872,-73.8638731,"7807 Jamaica Ave, Jamaica",,"2020-05-21T04:00:00.000Z","2020-05-29T17:32:14.000Z","(718) 296-6466 Mon-Fri 7:30am-10pm Sat-Sun 7:30am-10pm
","Laundromat & Cleaners",,,,,,,,,,
"Parrot Coffee & Grocery",676,"(718) 392-4515","http://parrotcoffee.com/",40.743501,-73.918809,"4515 Queens Blvd, Sunnyside","Supermarket","2020-04-11T04:00:00.000Z","2020-05-29T17:32:14.000Z","8am-10pm Daily, Groceries & prepared food 718-392-4515  [www.parrotcoffee.com/][1]

  [1]: http://www.parrotcoffee.com/
","Groceries",,,,,,,,,,
"CTown Supermarkets",677,"(718) 520-0679","https://locations.ctownsupermarkets.com/ctown-supermarkets-f47b6ee4fe61?utm_source=Google&utm_medium=organic&utm_campaign=Yext",40.7287749,-73.8628252,"94-06 63rd Dr, Queens","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-05-04T04:00:00.000Z","2020-05-29T17:32:14.000Z","718-520-0679 | 94-06 63rd Drive Rego Park
","Groceries",,,,,,,,,,
"Key Food Supermarkets",678,"(718) 275-6913","https://www.keyfood.com/",40.7275261,-73.863814,"92-02 63rd Dr, Flushing","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-05-04T04:00:00.000Z","2020-05-29T17:32:14.000Z","718-275-6913 | 92-02 63rd Drive Rego Park
","Groceries",,,,,,,,,,
"Fresh Value Marketplace",679,"(718) 997-8900","http://www.freshvaluemarketplace.net/",40.7296667,-73.8628333,"9507 63rd Dr, Rego Park","grocery_or_supermarket,Supermarket,liquor_store,food,health,point_of_interest,establishment","2020-05-04T04:00:00.000Z","2020-05-29T17:32:14.000Z","718-997-8900 | 9507 63rd Drive Rego Park
","Groceries",,,,,,,,,,
"Netcost Market",680,"(718) 459-4400","http://www.netcostmarket.com/",40.7288889,-73.86,"97-10 Queens Blvd, Rego Park","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-05-04T04:00:00.000Z","2020-05-29T17:32:14.000Z","Seniors 8am – 10am General 10am–7:30pm  718-459-4400 | 97-10 Queens Blvd, Rego Park
","Groceries",,,,,,,,,,
"Bayside Milk Farm",681,"(718) 225-0050","http://www.baysidemilkfarm.com/",40.7685474,-73.7731793,"35-15 Bell Blvd, Bayside","grocery_or_supermarket,Supermarket,food,point_of_interest,establishment",,"2020-05-29T17:32:14.000Z","718-225-0050  Shop & Delivery  M-F 8-9 Sat 8-7 & Sun 8:30-7 Order online baysidemilkfarm.com
","Groceries",,,,,,,,,,
"Sunnyside Gardens Market",682,"(718) 937-9301",,40.746695,-73.917809,"46-01 Skillman Ave, Sunnyside","grocery_or_supermarket,food,point_of_interest,establishment","2020-04-13T04:00:00.000Z","2020-05-29T17:32:14.000Z","7am-1am daily, Call ahead 718-937-9301 (not open 24 hrs at this time)
","Groceries",,,,,,,,,,
"Natural 7",683,,,40.743619,-73.919249,,,,"2020-05-29T17:32:14.000Z","Pickup Only 718-478-8880
","Groceries",,,,,,,,,,
"Sunnyside Fish Market",684,"(718) 392-3316",,40.743614,-73.919939,"2405 4415, Queens Blvd, Long Island City","food,point_of_interest,establishment","2020-04-13T04:00:00.000Z","2020-05-29T17:32:14.000Z","718-392-3316 TAKEOUT
","Groceries",,,,,,,,,,
"Turkiyem Market",685,"(718) 937-3456",,40.746626,-73.917182,"46-31 Skillman Ave, Long Island City","convenience_store,Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-04-13T04:00:00.000Z","2020-05-29T17:32:14.000Z","718-937-2456 TAKEOUT & DELIVERY / Now offering free grocery packages & delivery for the elderly 70 years and older. Please visit or call to inquire.
","Groceries",,,,,,,,,,
"Butcher Block",686,"(718) 784-1078",,40.744206,-73.923418,"43-46 41st St, Queens","restaurant,food,point_of_interest,establishment","2020-05-11T04:00:00.000Z","2020-05-29T17:32:14.000Z","Daily until 7pm TAKEOUT & DELIVERY call ahead 718-205-4299 / grocery market butcher beer prepared foods & imported Irish & British Isles products / msg: ""We will now close at 7 pm every evening. This will allow for restocking of shelves and for added cleaning and sanitation efforts, which will continue throughout the day. We are thankful to be able to continue to serve our community and are grateful to our customers who continue to support us.""
","Groceries",,,,,,,,,,
"Green Valley Marketplace",687,"(718) 752-1931","http://greenvalleymarketplace.instacart.com/",40.740022,-73.923633,"44-07 Greenpoint Ave, Sunnyside","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-04-14T04:00:00.000Z","2020-05-29T17:32:14.000Z","718-205-4299 TAKEOUT & ONLINE SHOPPING FOR DELIVERY with Instacart <https://greenvalleymarketplace.instacart.com/> Updates [www.instagram.com/p/B-IZDyrDQIr/][1] (and HIRING cashiers and deli clerks; call or visit to apply) Grocery Market Produce Beer Deli

  [1]: http://www.instagram.com/p/B-IZDyrDQIr/
","Groceries",,,,,,,,,,
"Go Natural Health Food & Juice Bar",688,"(718) 482-0008",,40.743556,-73.919334,"45-03 Queens Blvd, Sunnyside","food,health,point_of_interest,establishment","2020-04-14T04:00:00.000Z","2020-05-29T17:32:14.000Z","temporarily closed will REOPEN on Sun 4/19 Call & 718-482-0008  Updates  <https://www.instagram.com/p/B-xRR57jdqR/>
","Groceries",,,,,,,,,,
"La Adelita de Woodside",689,"(917) 396-1295","http://www.laadelitanyc.com/",40.744888,-73.910762,"5321 Roosevelt Ave, Woodside","bakery,restaurant,food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Call (917) 396-1295 Rancheros Eggs �� Tamales ����  Available for take-out or delivery Call (917) 396-1235 [www.facebook.com/LaAdelitanyc][1]

  [1]: http://www.facebook.com/LaAdelitanyc
","Groceries",,,,,,,,,,
"C-Town Supermarkets",690,,,40.74896,-73.863289,,,,"2020-05-29T17:32:14.000Z","Pickup & Delivery (718) 784-8420
","Groceries",,,,,,,,,,
"La Vienesa Bakery",691,"(718) 786-2924",,40.743542,-73.924636,"39-44 Queens Blvd, Sunnyside","bakery,food,point_of_interest,establishment","2020-05-18T04:00:00.000Z","2020-05-29T17:32:14.000Z","7am-4pm pickup & takeout  718-786-2924 | 39-44 Queens Blvd Sunnyside [www.instagram.com/p/CAT0hm3jjRM/][1]

  [1]: http://www.instagram.com/p/CAT0hm3jjRM/
","Groceries",,,,,,,,,,
"Sunnyside Deli",692,"(718) 429-0280",,40.748633,-73.913278,"5012 39th Ave, Flushing","food,point_of_interest,establishment",,"2020-05-29T17:32:14.000Z","[CLOSED at this time]
","Groceries",,,,,,,,,,
"Mary's Deli Grocery",693,"(718) 651-5577",,40.746173,-73.912492,"51-19 Skillman Ave, Flushing","food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Currently open 7am to 9 or 10pm  (718) 651-5577
","Groceries",,,,,,,,,,
"Sunnyside Mini Mart",694,,,40.746192,-73.916041,,,"2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Open daily 8am-2am
","Groceries",,,,,,,,,,
"Fresh N Save",695,"(718) 651-9720","http://www.keyfood.com/",40.745828,-73.913725,"50-18 Skillman Ave, Woodside","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-05-05T04:00:00.000Z","2020-05-29T17:32:14.000Z","OPEN 24 HOURS Call (718) 651-9720
","Groceries",,,,,,,,,,
"Food Bazaar",696,"(347) 448-8860","http://www.foodbazaar.com/",40.752376,-73.921264,"42-02 Northern Blvd, Long Island City","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Open daily 7am-8am for Seniors only and daily 8am-8:30pm for all. Grocery Market Prepared Food Beer UPDATES [www.instagram.com/foodbazaarsupermarkets/][1] DELIVERY  [www.instacart.com/food-bazaar][2] HIRING! [www.foodbazaar.com/contact/employment-application][3]

  [1]: http://www.instagram.com/foodbazaarsupermarkets/
  [2]: http://www.instacart.com/food-bazaar
  [3]: http://www.foodbazaar.com/contact/employment-application
","Groceries",,,,,,,,,,
"Key Food @ Sunnyside Arch",697,"(718) 706-6563","http://www.keyfood.com/pd/stores/NY/Sunnyside/Key-Food-1448/2D771264",40.742775,-73.918556,"4602 Queens Blvd, Sunnyside","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","OPEN DAILY/24HRS Grocery Market Prepared Food Produce Beer Deli - (718) 706-6563
","Groceries",,,,,,,,,,
"Sunnyside Greenmarket",698,"(212) 788-7900","https://www.grownyc.org/greenmarket/queens/sunnyside",40.747098,-73.921067,"Skillman Ave btwn 42nd &, 43rd Ave, Sunnyside","point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Saturdays 8am-3pm Check for weekly updates  at [www.grownyc.org/blog/schedule-changes][1] [All food scrap drop-off and clothing collection sites in NYC are closed until further notice]

  [1]: http://www.grownyc.org/blog/schedule-changes
","Groceries",,,,,,,,,,
"Taiyo Foods",699,"(718) 392-2233","http://www.taiyonyc.com/index.php?route=common/home",40.741506,-73.921176,"45-08 44th St, Sunnyside","grocery_or_supermarket,food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Daily 9am-6pm - Call to confirm (718) 205-4299 [www.taiyonyc.com][1]  <https://www.facebook.com/TAIYO.FOODS.SUNNYSIDE/>

  [1]: http://www.taiyonyc.com
","Groceries",,,,,,,,,,
"Sunny Grocery",700,"(718) 937-6256","http://www.sunnygrocery.net/",40.744806,-73.9185,"45-26 43rd Ave, Sunnyside","grocery_or_supermarket,Supermarket,food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Daily 7am-9pm Fresh fruit & vegetables, meat & dairy, Turkish sucuk, pastirma, Anatolian cheese, coffee, bread & sweets [www.sunnygrocery.net][1]

  [1]: http://www.sunnygrocery.net
","Groceries",,,,,,,,,,
"H Mart | 한아름",701,"(718) 446-0759","http://www.hmart.com/",40.745036,-73.904906,"59-18 Woodside Ave, Woodside","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","OPEN DAILY/24HRS For updates (and recipes!) visit [www.instagram.com/hmartofficial/][1] or call (718) 446-0759

  [1]: http://www.instagram.com/hmartofficial/
","Groceries",,,,,,,,,,
"Bell Grocery & Deli",702,"(718) 224-8532",,40.768516,-73.773874,"35-12 Bell Blvd, Flushing","food,point_of_interest,establishment",,"2020-05-29T17:32:14.000Z","Pickup & Delivery 718-224-8532
","Groceries",,,,,,,,,,
"Woodside Deli",703,"(718) 533-0153",,40.74928,-73.909669,"38-45 Woodside Ave, Woodside","grocery_or_supermarket,food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Daily 9am-9pm  - Call to confirm (718) 533-0153
","Groceries",,,,,,,,,,
"Woodside Candy Store",704,"(718) 505-9271",,40.744921,-73.904285,"6006 Woodside Ave, Queens","food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Open! Call first to confirm (718) 505-9271
","Groceries",,,,,,,,,,
"Natural 7",705,"(718) 478-8880",,40.745152,-73.90377,"3986 61st St, Woodside","food,health,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","9am-closes at 6pm maybe 7/8pm, Call to confirm (718) 478-8880
","Groceries",,,,,,,,,,
"C & J Prime Meat Market",706,"(718) 457-7343","http://www.cjprimemeats.com/",40.745596,-73.905062,"Queens","food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Call for hours (718) 457-7343
","Groceries",,,,,,,,,,
"Woodside Grocery",707,"(718) 672-6135",,40.745122,-73.903481,"3971 61st St, Queens","liquor_store,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Open daily - call for hours (718) 672-6135
","Groceries",,,,,,,,,,
"Ctown Roosevelt",708,"(718) 476-2352","https://locations.ctownsupermarkets.com/ctown-supermarkets-567e64e8663c?utm_source=Google&utm_medium=organic&utm_campaign=Yext",40.745631,-73.904839,"59-15 Roosevelt Ave, Queens","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Daily, 7am-12pm Grocery Market Prepared Food Beer - (718) 482-9840
","Groceries",,,,,,,,,,
"United Brothers Fruit Markets",709,"(718) 932-9876","http://www.unitedbrothersfruitmarkets.com/",40.766087,-73.920082,"32-24 30th Ave, Astoria","grocery_or_supermarket,food,point_of_interest,establishment",,"2020-05-29T17:32:14.000Z","Open, call for hours 718-932-9876
","Groceries",,,,,,,,,,
"Key Food Supermarket",710,"(718) 545-4082",,40.762944,-73.912603,"42-15 30th Ave, Astoria","Supermarket,grocery_or_supermarket,food,point_of_interest,establishment",,"2020-05-29T17:32:14.000Z","Call for hours, 718-545-4082 Grocery / Market
","Groceries",,,,,,,,,,
"D & F Italian Deli",711,,,40.760354,-73.921456,"36-1 Broadway, Astoria","clothing_store,point_of_interest,establishment","2020-04-18T04:00:00.000Z","2020-05-29T17:32:14.000Z","Delivery & Takeout Hours 7:30AM-6PM, Call (718) 728-2422 for pickup, or order delivery through Uber Eats, DoorDash, Postmates, Grubhub, and Seamless, They also sell imported Italian products, TV dinners, and other goods throughout the store. [www.dandfitaliandeli.com][1]

  [1]: http://www.dandfitaliandeli.com
","Groceries",,,,,,,,,,
"Titan Foods",712,"(718) 626-7771","https://www.titanfoods.net/",40.769207,-73.919461,"2556 31st St, Astoria","grocery_or_supermarket,Supermarket,restaurant,food,point_of_interest,establishment","2020-04-23T04:00:00.000Z","2020-05-29T17:32:14.000Z","Takeout Hours 8am -9pm, Call (718) 626-7771  <https://www.titanfoods.net/>
","Groceries",,,,,,,,,,
